PID,SMILES,HOMO,LUMO,S1,T1,TADF-likeness
137057334,CCNCc1cncc(-c2cc3c(-c4nc5c(-c6cccnc6)cccc5[nH]4)n[nH]c3cn2)c1,-5.673029555224,-1.7371748215919998,3.5067,2.5558,59.41292572021485
43976031,CCOc1ccc(-c2nnc(NC(=O)Cc3ccc(OC)c(C)c3)o2)cc1OCC,-5.550578322499,-1.085190035794,4.1331,2.8194,55.96353912353516
110323889,COc1ccc(S(=O)(=O)NCCc2nc(-c3ccc(C)cc3)no2)cc1,-6.4597106970195,-1.2650572909745,4.8371,3.148,56.00714492797852
25255201,Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1-c1cc2ccccc2s1,-4.753828968235,-1.755134335725,2.5757,2.3373,55.7274169921875
22753764,CN(C)c1ccc(C2(c3ccc(N(C)C)cc3)SC(NC(=O)C(C)(C)C)=Nc3cc(N(CCC#N)CCC#N)ccc32)cc1,-4.9696152516815,-1.0177058008700002,3.3875,2.8911,55.88559341430664
53173244,Cc1ccc(-c2nc(-c3ccc4nnc(C)n4c3)no2)cc1C,-5.968000969166,-1.9113276859119999,3.5467,2.4761,57.89083099365234
141145937,COc1ccc(COc2csc(-c3cnc4ccccn34)c2)cc1,-5.2449944683875005,-0.9336226210655,3.7828,2.6963,56.435638427734375
146541578,CC1C=CC=CC(C)n2c(nc3ccccc32)N1,-5.369894725767,-0.697155684981,4.0222,3.2944,57.17662048339844
144980171,Cc1ccc(C)c(Nc2c(-c3ccncc3)[nH]c3c2C(=O)CC(C)(C)C3)c1,-4.96879891013,-1.050903690631,3.3493,2.6605,55.10284423828125
58192447,CCN1C(=O)c2nc(-c3ccc(-c4ccccc4)cc3)n(Cc3cc(F)c(F)cc3F)c2N2CC(C)(C)N=C12,-5.288260570617,-1.2356689951205,3.5426,2.8803,59.756385803222656
159180656,CCOC(COc1ccc(OCCN2c3ccccc3Oc3ccccc32)cc1)C(=O)O,-4.8923349181395,-0.704230645094,3.678,2.8642,59.979637145996094
160299960,Cc1ccc(-c2ncco2)cc1-c1ccc(CC(=O)C(N)Cc2c[nH]c3ccccc23)cc1,-5.36064285485,-1.0337605180495002,4.1,2.9224,56.1079330444336
126717120,CCc1ccc(-n2ncc3ccccc32)nc1,-5.784324120078501,-0.922465953195,4.2951,3.1337,59.3341064453125
102310345,COC(=O)c1sc2ccccc2c1-c1ccc2ccccc2c1,-5.8333046131685,-1.6754049775285,3.6227,2.603,59.8326530456543
57804434,Pc1cccc2c1-c1c(P)cccc1OCO2,-6.129092368662,-0.9178400177365001,4.4822,3.3288,58.049442291259766
1223033,COc1ccc(-c2cc(C(=O)NC3CCCC3)c3ccccc3n2)cc1OC,-5.385133101395,-1.647921478628,3.3305,2.4829,58.01731872558594
11857321,O=C(NCc1ccccc1)c1cccc2[nH]c(Nc3cc4ccccc4cn3)nc12,-5.3331593559495,-1.8680615836825,3.0017,2.332,55.84589385986328
46062276,Cc1ccc(-n2c(=O)n(CC(C)C)c(=O)c3c2ncn3CC(C)C)c(C)c1,-5.8915369771755,-0.847906758158,4.5811,3.306,55.299354553222656
10455503,CC(C)(C)c1ccc2[nH]cc(CC(=O)Nc3ccc(F)c(COc4cnccn4)c3)c2c1,-5.6958871186660005,-1.0076375884015,4.2865,3.1977,56.14696502685547
124434649,NS(=O)(=O)c1ccc(CCC(=O)N(Cc2ccccc2)Cc2ccccc2)cc1,-6.578896563538501,-1.0060049052985,5.144,3.6418,59.75065231323242
100222520,CCCCNC(=O)[C@H](C)N(Cc1ccc(F)cc1)C(=O)CCCN1C(=O)c2cccc3cccc1c23,-5.42050790196,-1.6193495243255,3.3077,2.1921,57.35160446166992
16966933,C=CCc1ccccc1OCCCCn1c(CN(C)C(=O)c2ccccn2)nc2ccccc21,-5.9715384492225,-1.1981172837515,4.0999,3.4956,58.6767578125
44010873,Cc1cc(C)c2sc(N(Cc3ccncc3)C(=O)CCCSc3ccc(F)cc3)nc2c1,-5.726363869921999,-1.2187979363895,4.0762,3.1733,56.51557922363281
24138286,Cc1ccc(-c2ccc(C#N)c(SCCC(=O)Nc3cccc(C)c3C)n2)cc1,-5.9405174702655,-1.916225735221,3.7058,2.6856,58.9363899230957
147846158,COc1ccc(C=Cn2c(C)cc(=O)cc2C)cc1OCC(C)C,-5.3837725321425,-1.2579823308615001,3.5857,2.6036,55.11868667602539
366282,Cc1nc2n(C)c3ncn(Cc4ccccc4)c3c(=O)n2c1C=CC(C)C,-4.936689475771,-1.019882711674,3.404,2.6382,55.53925704956055
55359871,O=C(COCc1ccccc1)Oc1ccc2ccccc2c1,-5.9606538952025,-1.176620289562,4.3907,2.7296,57.440696716308594
24625026,O=C(NCC(c1ccccc1)N1CCCC1)c1nn(-c2ccccc2)c2c1CCC2,-5.795480787949,-0.8313078132775,4.411,3.4174,55.371620178222656
23260262,COC(=O)c1cccc2c(=O)c(C)c(C3(c4ccccc4)CCCC3)oc12,-6.2232437609349995,-1.7837062900275,3.5997,2.9793,57.35055541992188
63345562,O=C(Cc1nc(-c2ccccc2F)no1)c1ccccc1,-6.587332092904,-1.8397617432305002,3.8577,3.2769,57.77927780151367
17647845,Cc1ccc(S(=O)(=O)Nc2cc(C(=O)N3CCN(C(c4ccccc4)c4ccccc4)CC3)ccc2C)cc1,-5.7696299721515,-1.1360753258375,4.2833,3.3766,58.35660934448242
145015432,CCC=C(C)C=C(Nc1ccc(OC)cc1)c1cc(C)cc(C)c1C,-4.6169557014335,-0.606813886615,3.5162,2.3392,56.13587951660156
156878615,C=C(C)C1CC2(C1)CC(c1c(C(C)C)n(-c3ccc(F)cc3)c3cccc(F)c13)C2,-5.2047216185135,-0.7295372331905,3.8457,3.1887,58.280181884765625
154493834,CCCc1ccc(C(=O)NCCc2ccccc2C(=O)NCCN2CCc3cc(OC)c(OC)cc3C2)cc1,-5.3037710600955,-0.835933748736,4.1367,3.5783,58.872596740722656
23592013,O=C(NCCc1cncn1Cc1ccccc1)c1ccc(-c2ccccn2)nc1,-5.815617212886,-1.9056132950515,3.4741,2.9694,57.05670166015625
124376449,Cc1ccc(/C=N\NC(=O)CN(c2cc(C)cc(C)c2)S(=O)(=O)c2ccccc2)cc1,-5.7816029815735,-1.274037048041,4.0633,2.8572,57.095306396484375
